country,year,offshore,entsoe_offshore_wind_generation,entsoe_offshore_wind_installed_capacity,opsd_offshore_wind_generation,opsd_offshore_wind_installed_capacity,entsoe_onshore_wind_generation,entsoe_onshore_wind_installed_capacity,opsd_onshore_wind_generation,opsd_onshore_wind_installed_capacity,ei_wind_installed_capacity,entsoe_solar_generation,entsoe_solar_installed_capacity,opsd_solar_generation,opsd_solar_installed_capacity,ei_solar_installed_capacity,entsoe_reservoir_filling_level,entsoe_hydropower_inflow
Bosnia and Herzegovina,2019,True,,,,,79.0,87.0,,,,,,,,,,
Bulgaria,2015,True,,,,,592.0,358.0,592.0,,699.0,856.0,275.0,856.0,,1027.89,2240914.0,243874.0
Bulgaria,2016,True,,,,,612.0,701.0,612.0,,699.0,852.0,1041.0,852.0,,1029.89,2150791.0,164093.0
Bulgaria,2017,True,,,,,598.0,701.0,598.0,,698.39,850.0,1046.0,850.0,,1030.7,1720384.0,154398.0
Bulgaria,2018,True,,,,,678.0,700.0,678.0,,698.92,793.0,1052.0,793.0,,1033.06,2218419.0,165218.0
Bulgaria,2019,True,,,,,613.0,700.0,613.0,,703.12,845.0,1059.0,845.0,,1044.39,1768678.0,166993.0
Croatia,2015,True,,,,,,429.0,,,,,44.0,,,,1247290.0,
Croatia,2016,True,,,,,,489.0,,,,,49.0,,,,1036640.0,
Croatia,2017,True,,,,,,537.0,,,,,51.0,,,,876690.0,
Croatia,2018,True,,,,,,582.0,,,,,52.0,,,,1404080.0,
Croatia,2019,True,,,,,540.0,616.0,,,,42.0,53.0,,,,997630.0,237609.0
Cyprus,2015,True,,,,,106.5,158.0,112.0,,,,76.0,,,,,
Cyprus,2016,True,,,,,140.0,,140.0,,,,,,,,,
Cyprus,2017,True,,,,,140.0,158.0,139.0,,,,115.0,,,,,
Cyprus,2018,True,,,,,143.0,158.0,140.0,,,,123.0,,,,,
Cyprus,2019,True,,,,,146.5,158.0,147.0,,,,150.0,,,,,
